Level	Breakdown
Domain	Bacteria: 665; Archaea: 3
Phylum	Proteobacteria: 348; Firmicutes: 161; Actinobacteriota: 53; Firmicutes_A: 38; Bacteroidota: 33; Spirochaetota: 10; Chlamydiota: 7; Campylobacterota: 5; Fusobacteriota: 4; Firmicutes_C: 2; Halobacteriota: 2; Chloroflexota: 1; Cyanobacteria: 1; Deinococcota: 1; Firmicutes_B: 1; Methanobacteriota: 1
Class	Gammaproteobacteria: 286; Bacilli: 161; Alphaproteobacteria: 62; Actinomycetia: 51; Clostridia: 37; Bacteroidia: 33; Chlamydiia: 7; Campylobacteria: 5; Spirochaetia: 5; Fusobacteriia: 4; Leptospirae: 3; Brachyspirae: 2; Coriobacteriia: 2; Negativicutes: 2; Cyanobacteriia: 1; Dehalococcoidia: 1; Deinococci: 1; Halobacteria: 1; Methanococci: 1; Methanosarcinia: 1; Moorellia: 1; Thermoanaerobacteria: 1
